,"[-4, 0)","[0, 4)","[4, 8)","[-8, -4)","[8, 12)","[-12, -8)"
"[-4, 0)",0,9,0,23,0,0
"[0, 4)",0,4783,2,14492,5,0
"[4, 8)",0,292,1,537,0,0
"[-8, -4)",0,3689,0,34465,5,0
"[8, 12)",0,24,0,1513,3,0
"[-12, -8)",0,1,0,53,0,0
