,"[-4, 0)","[0, 4)","[4, 8)","[-8, -4)","[8, 12)","[-12, -8)"
"[-4, 0)",0,8,0,24,0,0
"[0, 4)",0,4927,1,14352,2,0
"[4, 8)",0,309,0,521,0,0
"[-8, -4)",0,3511,0,34647,1,0
"[8, 12)",0,17,0,1521,2,0
"[-12, -8)",0,1,0,53,0,0
