,-1,0,1,2,-2,5,-4,-5,4,3,-3,-7,9,6,-6,7,-8,-9,-10,8,-11,-12,10,11
-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,3,7,3,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,2,10,3,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0,1,14,20,6,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,6,22,46,9,1,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,1,7,68,136,27,1,1,1,0,0,0,0,0,0,0
-5,0,0,0,0,0,0,0,1,1,1,17,106,288,44,5,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,31,222,558,100,15,1,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1,2,54,462,1242,225,24,4,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,1,1,83,1021,2998,463,58,6,1,0,0,0,0,0,0,0
-7,0,0,0,1,0,0,0,0,0,4,88,1906,8554,1030,100,23,3,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,4,70,1991,16442,1761,176,22,5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,5,35,902,8564,1648,181,26,1,0,0,0,0,0,0,0
-6,0,0,0,0,0,0,0,0,0,0,12,280,2969,967,160,29,3,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,7,112,1083,564,114,24,2,0,0,0,0,0,0,0
-8,0,0,0,0,0,0,0,0,0,0,2,29,467,273,65,13,1,0,0,0,0,0,0,0
-9,0,0,0,0,0,0,0,0,0,0,1,11,187,131,35,10,0,2,0,0,0,0,0,0
-10,0,0,0,0,0,0,0,0,0,0,0,5,105,53,27,6,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,5,50,44,12,4,1,0,0,0,0,0,0,0
-11,0,0,0,0,0,0,0,0,0,0,0,0,10,13,2,1,0,0,0,0,0,0,0,0
-12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,2,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
