,"[-4, 0)","[0, 4)","[4, 8)","[-8, -4)","[8, 12)","[-12, -8)"
"[-4, 0)",0,16,0,10,0,0
"[0, 4)",0,5970,0,12137,1224,0
"[4, 8)",0,285,0,455,57,0
"[-8, -4)",0,8726,1,24941,4435,0
"[8, 12)",0,141,0,761,681,0
"[-12, -8)",0,7,0,18,32,0
