,-4,0,4,-8,8,-12
-4,0,0,8,24,0,0
0,0,2,285,543,0,0
4,0,2,4764,14510,6,0
-8,0,2,3666,34485,6,0
8,0,0,19,1518,3,0
-12,0,0,2,52,0,0
